City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Alma ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,700
Alma ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,780
Alma ,Netfile,Married or Living common-law,No Children Declared,65 and Older,860
Alma ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1000
Alma ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1160
Alma ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1490
Alma ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1620
Alma ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1780
Alma ,Efile,Married or Living common-law,No Children Declared,65 and Older,2520
Alma ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2820
Alma ,Efile,Married or Living common-law,With Children Declared,26 - 64,3540
Alma ,Efile,Married or Living common-law,No Children Declared,26 - 64,4000
Amos ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
Amos ,Paper,Married or Living common-law,With Children Declared,18 and Under,0
Amos ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Amos ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Amos ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Amos ,Paper,Unstated,No Children Declared,18 and Under,0
Amos ,Paper,Unstated,No Children Declared,19 - 25,0
Amos ,Paper,Unstated,No Children Declared,26 - 64,0
Amos ,Paper,Unstated,No Children Declared,65 and Older,0
Amos ,Paper,Unstated,With Children Declared,26 - 64,0
Amos ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Amos ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Amos ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Amos ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Amos ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Amos ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Amos ,Efile,Married or Living common-law,With Children Declared,65 and Older,10
Amos ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Amos ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Amos ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Amos ,Netfile,Married or Living common-law,With Children Declared,19 - 25,30
Amos ,Netfile,Married or Living common-law,No Children Declared,19 - 25,50
Amos ,Efile,Married or Living common-law,With Children Declared,19 - 25,50
Amos ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,70
Amos ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
Amos ,Efile,Married or Living common-law,No Children Declared,19 - 25,90
Amos ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,100
Amos ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,110
Amos ,Paper,Married or Living common-law,With Children Declared,26 - 64,220
Amos ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,220
Amos ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,270
Amos ,Paper,Married or Living common-law,No Children Declared,65 and Older,330
Amos ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,340
Amos ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,340
Amos ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,350
Amos ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,420
Amos ,Paper,Married or Living common-law,No Children Declared,26 - 64,430
Amos ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,470
Amos ,Netfile,Married or Living common-law,No Children Declared,65 and Older,490
Amos ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,620
Amos ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,670
Amos ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,730
Amos ,Efile,Married or Living common-law,No Children Declared,65 and Older,900
Amos ,Netfile,Married or Living common-law,With Children Declared,26 - 64,930
Amos ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1100
Amos ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1180
Amos ,Efile,Married or Living common-law,With Children Declared,26 - 64,1540
Amos ,Efile,Married or Living common-law,No Children Declared,26 - 64,1640
Baie-Comeau ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Baie-Comeau ,Paper,Unstated,No Children Declared,18 and Under,0
Baie-Comeau ,Paper,Unstated,No Children Declared,19 - 25,0
Baie-Comeau ,Paper,Unstated,With Children Declared,26 - 64,0
Baie-Comeau ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Baie-Comeau ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Baie-Comeau ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Baie-Comeau ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Baie-Comeau ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Baie-Comeau ,Paper,Unstated,No Children Declared,26 - 64,20
Baie-Comeau ,Paper,Unstated,No Children Declared,65 and Older,20
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Baie-Comeau ,Paper,Married or Living common-law,No Children Declared,19 - 25,30
Baie-Comeau ,Netfile,Married or Living common-law,With Children Declared,19 - 25,40
Baie-Comeau ,Efile,Married or Living common-law,With Children Declared,19 - 25,70
Baie-Comeau ,Netfile,Married or Living common-law,No Children Declared,19 - 25,80
Baie-Comeau ,Efile,Married or Living common-law,No Children Declared,19 - 25,110
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,140
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,170
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,170
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,250
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,300
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,350
Baie-Comeau ,Paper,Married or Living common-law,With Children Declared,26 - 64,430
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,490
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,520
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,710
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,790
Baie-Comeau ,Netfile,Married or Living common-law,No Children Declared,65 and Older,810
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,810
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,830
Baie-Comeau ,Paper,Married or Living common-law,No Children Declared,65 and Older,850
Baie-Comeau ,Paper,Married or Living common-law,No Children Declared,26 - 64,920
Baie-Comeau ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1110
Baie-Comeau ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1120
Baie-Comeau ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1450
Baie-Comeau ,Efile,Married or Living common-law,No Children Declared,65 and Older,1470
Baie-Comeau ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1760
Baie-Comeau ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1970
Baie-Comeau ,Efile,Married or Living common-law,With Children Declared,26 - 64,2380
Baie-Comeau ,Efile,Married or Living common-law,No Children Declared,26 - 64,3010
Barrie ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Barrie ,Paper,Unstated,No Children Declared,18 and Under,0
Barrie ,Paper,Unstated,With Children Declared,26 - 64,0
Barrie ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Barrie ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Barrie ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Barrie ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Barrie ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Barrie ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Barrie ,Paper,Married or Living common-law,With Children Declared,65 and Older,10
Barrie ,Paper,Unstated,No Children Declared,19 - 25,10
Barrie ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Barrie ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Barrie ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Barrie ,Paper,Unstated,No Children Declared,65 and Older,30
Barrie ,Netfile,Married or Living common-law,With Children Declared,65 and Older,30
Barrie ,Paper,Married or Living common-law,No Children Declared,19 - 25,40
Barrie ,Paper,Unstated,No Children Declared,26 - 64,40
Barrie ,Efile,Married or Living common-law,With Children Declared,65 and Older,60
Barrie ,Netfile,Married or Living common-law,With Children Declared,19 - 25,170
Barrie ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,210
Barrie ,Netfile,Married or Living common-law,No Children Declared,19 - 25,290
Barrie ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,290
Barrie ,Efile,Married or Living common-law,With Children Declared,19 - 25,330
Barrie ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,430
Barrie ,Efile,Married or Living common-law,No Children Declared,19 - 25,470
Barrie ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,810
Barrie ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,940
Barrie ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1070
Barrie ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1680
Barrie ,Paper,Married or Living common-law,With Children Declared,26 - 64,1760
Barrie ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,2080
Barrie ,Paper,Married or Living common-law,No Children Declared,65 and Older,2120
Barrie ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2200
Barrie ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2240
Barrie ,Paper,Married or Living common-law,No Children Declared,26 - 64,2520
Barrie ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2610
Barrie ,Netfile,Married or Living common-law,No Children Declared,65 and Older,3740
Barrie ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,4100
Barrie ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,5610
Barrie ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,6990
Barrie ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,8020
Barrie ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,8330
Barrie ,Netfile,Married or Living common-law,No Children Declared,26 - 64,9850
Barrie ,Efile,Married or Living common-law,No Children Declared,65 and Older,10190
Barrie ,Netfile,Married or Living common-law,With Children Declared,26 - 64,11790
Barrie ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,12970
Barrie ,Efile,Married or Living common-law,No Children Declared,26 - 64,16330
Barrie ,Efile,Married or Living common-law,With Children Declared,26 - 64,17440
Bathurst ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Bathurst ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Bathurst ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Bathurst ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Bathurst ,Paper,Unstated,No Children Declared,18 and Under,0
Bathurst ,Paper,Unstated,With Children Declared,26 - 64,0
Bathurst ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Bathurst ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Bathurst ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Bathurst ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Bathurst ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Bathurst ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Bathurst ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Bathurst ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Bathurst ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Bathurst ,Efile,Married or Living common-law,With Children Declared,65 and Older,20
Bathurst ,Paper,Unstated,No Children Declared,26 - 64,30
Bathurst ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Bathurst ,Paper,Unstated,No Children Declared,65 and Older,40
Bathurst ,Netfile,Married or Living common-law,With Children Declared,19 - 25,40
Bathurst ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Bathurst ,Netfile,Married or Living common-law,No Children Declared,19 - 25,50
Bathurst ,Efile,Married or Living common-law,With Children Declared,19 - 25,80
Bathurst ,Efile,Married or Living common-law,No Children Declared,19 - 25,100
Bathurst ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,120
Bathurst ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,130
Bathurst ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,160
Bathurst ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,190
Bathurst ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,270
Bathurst ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,310
Bathurst ,Paper,Married or Living common-law,With Children Declared,26 - 64,320
Bathurst ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,620
Bathurst ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,660
Bathurst ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,700
Bathurst ,Paper,Married or Living common-law,No Children Declared,26 - 64,860
Bathurst ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,890
Bathurst ,Paper,Married or Living common-law,No Children Declared,65 and Older,960
Bathurst ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,980
Bathurst ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1010
Bathurst ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1090
Bathurst ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1440
Bathurst ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1450
Bathurst ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1560
Bathurst ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2240
Bathurst ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2280
Bathurst ,Efile,Married or Living common-law,With Children Declared,26 - 64,2330
Bathurst ,Efile,Married or Living common-law,No Children Declared,65 and Older,2730
Bathurst ,Efile,Married or Living common-law,No Children Declared,26 - 64,3850
Bay Roberts ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Bay Roberts ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Bay Roberts ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Bay Roberts ,Paper,Unstated,No Children Declared,18 and Under,0
Bay Roberts ,Paper,Unstated,No Children Declared,19 - 25,0
Bay Roberts ,Paper,Unstated,No Children Declared,26 - 64,0
Bay Roberts ,Paper,Unstated,No Children Declared,65 and Older,0
Bay Roberts ,Paper,Unstated,With Children Declared,19 - 25,0
Bay Roberts ,Paper,Unstated,With Children Declared,26 - 64,0
Bay Roberts ,Netfile,Married or Living common-law,With Children Declared,19 - 25,0
Bay Roberts ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Bay Roberts ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Bay Roberts ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Bay Roberts ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Bay Roberts ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Bay Roberts ,Netfile,Married or Living common-law,No Children Declared,19 - 25,10
Bay Roberts ,Efile,Married or Living common-law,With Children Declared,19 - 25,10
Bay Roberts ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Bay Roberts ,Efile,Married or Living common-law,No Children Declared,19 - 25,20
Bay Roberts ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,50
Bay Roberts ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,60
Bay Roberts ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,80
Bay Roberts ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,90
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
Bay Roberts ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,140
Bay Roberts ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,190
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,200
Bay Roberts ,Paper,Married or Living common-law,With Children Declared,26 - 64,210
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,220
Bay Roberts ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,270
Bay Roberts ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,270
Bay Roberts ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,380
Bay Roberts ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,390
Bay Roberts ,Netfile,Married or Living common-law,No Children Declared,65 and Older,390
Bay Roberts ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,390
Bay Roberts ,Paper,Married or Living common-law,No Children Declared,65 and Older,420
Bay Roberts ,Paper,Married or Living common-law,No Children Declared,26 - 64,460
Bay Roberts ,Netfile,Married or Living common-law,With Children Declared,26 - 64,470
Bay Roberts ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,560
Bay Roberts ,Efile,Married or Living common-law,No Children Declared,65 and Older,620
Bay Roberts ,Netfile,Married or Living common-law,No Children Declared,26 - 64,660
Bay Roberts ,Efile,Married or Living common-law,With Children Declared,26 - 64,1080
Bay Roberts ,Efile,Married or Living common-law,No Children Declared,26 - 64,1130
Belleville ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Belleville ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Belleville ,Paper,Unstated,No Children Declared,18 and Under,0
Belleville ,Paper,Unstated,No Children Declared,19 - 25,0
Belleville ,Paper,Unstated,With Children Declared,19 - 25,0
Belleville ,Paper,Unstated,With Children Declared,26 - 64,0
Belleville ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Belleville ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Belleville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Belleville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Belleville ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Belleville ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Belleville ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Belleville ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Belleville ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
Belleville ,Paper,Unstated,No Children Declared,26 - 64,20
Belleville ,Paper,Unstated,No Children Declared,65 and Older,20
Belleville ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Belleville ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,20
Belleville ,Paper,Married or Living common-law,No Children Declared,19 - 25,30
Belleville ,Efile,Married or Living common-law,With Children Declared,65 and Older,60
Belleville ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,130
Belleville ,Netfile,Married or Living common-law,With Children Declared,19 - 25,130
Belleville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,130
Belleville ,Netfile,Married or Living common-law,No Children Declared,19 - 25,210
Belleville ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,250
Belleville ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,260
Belleville ,Efile,Married or Living common-law,With Children Declared,19 - 25,320
Belleville ,Efile,Married or Living common-law,No Children Declared,19 - 25,340
Belleville ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,370
Belleville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,430
Belleville ,Paper,Married or Living common-law,With Children Declared,26 - 64,610
Belleville ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,810
