CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Abbotsford-Mission CMA,Paper,Self-employment,"Less than $25,000",Complex,460
Abbotsford-Mission CMA,Netfile,Pension,"Between $50,000 and $99,999",Simple,460
Abbotsford-Mission CMA,Netfile,Employment,"Less than $25,000",Complex,450
Abbotsford-Mission CMA,Paper,Employment,"Between $50,000 and $99,999",Complex,430
Abbotsford-Mission CMA,Netfile,Pension,"Less than $25,000",Complex,420
Abbotsford-Mission CMA,Paper,Pension,"Between $25,000 and $49,999",Complex,400
Abbotsford-Mission CMA,Paper,Employment,"Between $25,000 and $49,999",Complex,360
Abbotsford-Mission CMA,Netfile,Pension,"Between $50,000 and $99,999",Complex,350
Abbotsford-Mission CMA,Netfile,Other,"Between $25,000 and $49,999",Simple,320
Abbotsford-Mission CMA,Efile,Self-employment,"$100,000 and Above",Complex,310
Abbotsford-Mission CMA,Netfile,Other,"Less than $25,000",Complex,280
Abbotsford-Mission CMA,Efile,Other,"Between $25,000 and $49,999",Complex,270
Abbotsford-Mission CMA,Paper,Employment,"Less than $25,000",Complex,260
Abbotsford-Mission CMA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,220
Abbotsford-Mission CMA,Paper,Employment,"$100,000 and Above",Simple,210
Abbotsford-Mission CMA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,210
Abbotsford-Mission CMA,Paper,Pension,"Between $50,000 and $99,999",Simple,200
Abbotsford-Mission CMA,Efile,Investment,"Less than $25,000",Simple,200
Abbotsford-Mission CMA,Paper,Other,"Less than $25,000",Complex,180
Abbotsford-Mission CMA,Efile,Other,"Between $50,000 and $99,999",Simple,170
Abbotsford-Mission CMA,Paper,Pension,"Between $50,000 and $99,999",Complex,160
Abbotsford-Mission CMA,Netfile,Investment,"Less than $25,000",Complex,160
Abbotsford-Mission CMA,Efile,Other,"Between $50,000 and $99,999",Complex,150
Abbotsford-Mission CMA,Efile,Pension,"$100,000 and Above",Complex,150
Abbotsford-Mission CMA,Paper,Employment,"$100,000 and Above",Complex,140
Abbotsford-Mission CMA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,130
Abbotsford-Mission CMA,Paper,Other,"Between $25,000 and $49,999",Simple,100
Abbotsford-Mission CMA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,100
Abbotsford-Mission CMA,Netfile,Investment,"Between $50,000 and $99,999",Complex,100
Abbotsford-Mission CMA,Efile,Other,"$100,000 and Above",Complex,100
Abbotsford-Mission CMA,Paper,Investment,"Less than $25,000",Complex,90
Abbotsford-Mission CMA,Netfile,Investment,"Between $25,000 and $49,999",Complex,90
Abbotsford-Mission CMA,Netfile,Other,"Between $25,000 and $49,999",Complex,90
Abbotsford-Mission CMA,Paper,Investment,"Between $50,000 and $99,999",Complex,80
Abbotsford-Mission CMA,Paper,Investment,"Less than $25,000",Simple,70
Abbotsford-Mission CMA,Netfile,Investment,"Less than $25,000",Simple,70
Abbotsford-Mission CMA,Netfile,Other,"Between $50,000 and $99,999",Simple,70
Abbotsford-Mission CMA,Paper,Investment,"Between $25,000 and $49,999",Complex,60
Abbotsford-Mission CMA,Paper,Investment,"$100,000 and Above",Complex,60
Abbotsford-Mission CMA,Paper,Other,"Between $25,000 and $49,999",Complex,50
Abbotsford-Mission CMA,Netfile,Investment,"$100,000 and Above",Complex,50
Abbotsford-Mission CMA,Efile,Pension,"$100,000 and Above",Simple,50
Abbotsford-Mission CMA,Paper,Self-employment,"$100,000 and Above",Complex,40
Abbotsford-Mission CMA,Netfile,Other,"Between $50,000 and $99,999",Complex,40
Abbotsford-Mission CMA,Netfile,Self-employment,"$100,000 and Above",Complex,40
Abbotsford-Mission CMA,Efile,Other,"$100,000 and Above",Simple,40
Abbotsford-Mission CMA,Paper,No income,"Less than $25,000",Complex,30
Abbotsford-Mission CMA,Netfile,Pension,"$100,000 and Above",Complex,30
Abbotsford-Mission CMA,Netfile,Pension,"$100,000 and Above",Simple,30
Abbotsford-Mission CMA,Efile,No income,"Less than $25,000",Complex,30
Abbotsford-Mission CMA,Efile,Investment,"Between $25,000 and $49,999",Simple,30
Abbotsford-Mission CMA,Paper,Other,"Between $50,000 and $99,999",Complex,20
Abbotsford-Mission CMA,Paper,Other,"Between $50,000 and $99,999",Simple,20
Abbotsford-Mission CMA,Paper,Other,"$100,000 and Above",Complex,20
Abbotsford-Mission CMA,Paper,Pension,"$100,000 and Above",Complex,20
Abbotsford-Mission CMA,Netfile,Other,"$100,000 and Above",Complex,20
Abbotsford-Mission CMA,Netfile,Other,"$100,000 and Above",Simple,20
Abbotsford-Mission CMA,Paper,Self-employment,"Less than $25,000",Simple,10
Abbotsford-Mission CMA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Abbotsford-Mission CMA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Abbotsford-Mission CMA,Paper,Other,"$100,000 and Above",Simple,0
Abbotsford-Mission CMA,Paper,Pension,"$100,000 and Above",Simple,0
Abbotsford-Mission CMA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Abbotsford-Mission CMA,Paper,Self-employment,"$100,000 and Above",Simple,0
Abbotsford-Mission CMA,Netfile,No income,"Less than $25,000",Complex,0
Abbotsford-Mission CMA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Abbotsford-Mission CMA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
Abbotsford-Mission CMA,Netfile,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Abbotsford-Mission CMA,Netfile,Multiple sources of income,"$100,000 and Above",Simple,0
Abbotsford-Mission CMA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Abbotsford-Mission CMA,Efile,Investment,"$100,000 and Above",Simple,0
Abbotsford-Mission CMA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Abbotsford-Mission CMA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Abbotsford-Mission CMA,Efile,Multiple sources of income,"Between $50,000 and $99,999",Complex,0
Abbotsford-Mission CMA,Efile,Self-employment,"Less than $25,000",Simple,0
Alma CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"2,640"
Alma CA,Efile,Employment,"Less than $25,000",Simple,"2,320"
Alma CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"2,100"
Alma CA,Efile,Pension,"Less than $25,000",Simple,"2,080"
Alma CA,Efile,Other,"Less than $25,000",Simple,"1,490"
Alma CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"1,250"
Alma CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,090"
Alma CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,870
Alma CA,Netfile,Employment,"Less than $25,000",Simple,860
Alma CA,Efile,Employment,"Between $50,000 and $99,999",Complex,770
Alma CA,Netfile,Pension,"Less than $25,000",Simple,700
Alma CA,Efile,Employment,"Between $25,000 and $49,999",Complex,660
Alma CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,550
Alma CA,Paper,Pension,"Less than $25,000",Simple,480
Alma CA,Efile,Pension,"Between $25,000 and $49,999",Complex,470
Alma CA,Netfile,Other,"Less than $25,000",Simple,450
Alma CA,Efile,Pension,"Less than $25,000",Complex,440
Alma CA,Efile,Pension,"Between $50,000 and $99,999",Simple,410
Alma CA,Paper,Other,"Less than $25,000",Simple,400
Alma CA,Efile,Employment,"$100,000 and Above",Simple,400
Alma CA,Paper,Employment,"Between $25,000 and $49,999",Simple,390
Alma CA,Paper,Employment,"Less than $25,000",Simple,370
Alma CA,Efile,Self-employment,"Less than $25,000",Complex,320
Alma CA,Paper,Pension,"Between $25,000 and $49,999",Simple,290
Alma CA,Efile,Employment,"$100,000 and Above",Complex,280
Alma CA,Efile,Employment,"Less than $25,000",Complex,270
Alma CA,Efile,No income,"Less than $25,000",Simple,260
Alma CA,Paper,Employment,"Between $50,000 and $99,999",Simple,240
Alma CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,240
Alma CA,Efile,Pension,"Between $50,000 and $99,999",Complex,240
Alma CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,220
Alma CA,Efile,Other,"Between $25,000 and $49,999",Simple,220
Alma CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,180
Alma CA,Netfile,Employment,"$100,000 and Above",Simple,180
Alma CA,Efile,Other,"Less than $25,000",Complex,180
Alma CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,150
Alma CA,Efile,Investment,"Between $25,000 and $49,999",Complex,130
Alma CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,130
Alma CA,Paper,Pension,"Less than $25,000",Complex,120
Alma CA,Efile,Investment,"Between $50,000 and $99,999",Complex,120
Alma CA,Efile,Investment,"$100,000 and Above",Complex,120
Alma CA,Paper,Employment,"Between $50,000 and $99,999",Complex,100
Alma CA,Netfile,Pension,"Less than $25,000",Complex,100
Alma CA,Paper,Employment,"Between $25,000 and $49,999",Complex,90
Alma CA,Netfile,Employment,"Less than $25,000",Complex,90
Alma CA,Efile,Investment,"Less than $25,000",Complex,90
Alma CA,Efile,Other,"Between $25,000 and $49,999",Complex,90
Alma CA,Paper,Pension,"Between $25,000 and $49,999",Complex,80
Alma CA,Paper,Pension,"Between $50,000 and $99,999",Simple,80
Alma CA,Netfile,No income,"Less than $25,000",Simple,80
Alma CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,80
Alma CA,Netfile,Employment,"$100,000 and Above",Complex,70
Alma CA,Netfile,Other,"Between $25,000 and $49,999",Simple,70
Alma CA,Netfile,Self-employment,"Less than $25,000",Complex,70
Alma CA,Paper,Employment,"Less than $25,000",Complex,60
Alma CA,Paper,Other,"Less than $25,000",Complex,60
Alma CA,Efile,Self-employment,"$100,000 and Above",Complex,60
Alma CA,Paper,No income,"Less than $25,000",Simple,50
Alma CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,50
Alma CA,Paper,Employment,"$100,000 and Above",Simple,40
Alma CA,Paper,Pension,"Between $50,000 and $99,999",Complex,40
Alma CA,Netfile,Other,"Less than $25,000",Complex,40
Alma CA,Efile,Other,"Between $50,000 and $99,999",Simple,40
Alma CA,Paper,Other,"Between $25,000 and $49,999",Simple,30
Alma CA,Paper,Self-employment,"Less than $25,000",Complex,30
Alma CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,30
Alma CA,Efile,Investment,"Less than $25,000",Simple,30
Alma CA,Efile,Other,"Between $50,000 and $99,999",Complex,30
Alma CA,Efile,Other,"$100,000 and Above",Complex,30
Alma CA,Paper,Employment,"$100,000 and Above",Complex,20
Alma CA,Paper,Investment,"Less than $25,000",Complex,20
Alma CA,Paper,Other,"Between $25,000 and $49,999",Complex,20
Alma CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,20
Alma CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
Alma CA,Efile,Other,"$100,000 and Above",Simple,20
Alma CA,Efile,Pension,"$100,000 and Above",Complex,20
Alma CA,Paper,Investment,"Between $25,000 and $49,999",Complex,10
Alma CA,Paper,Investment,"Between $50,000 and $99,999",Complex,10
Alma CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,10
Alma CA,Netfile,Investment,"Less than $25,000",Complex,10
Alma CA,Netfile,Other,"Between $25,000 and $49,999",Complex,10
Alma CA,Netfile,Other,"Between $50,000 and $99,999",Simple,10
Alma CA,Paper,No income,"Less than $25,000",Complex,0
Alma CA,Paper,Investment,"Less than $25,000",Simple,0
Alma CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Alma CA,Paper,Investment,"$100,000 and Above",Complex,0
Alma CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Alma CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Alma CA,Paper,Other,"$100,000 and Above",Complex,0
Alma CA,Paper,Other,"$100,000 and Above",Simple,0
Alma CA,Paper,Pension,"$100,000 and Above",Complex,0
Alma CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Alma CA,Netfile,Investment,"Less than $25,000",Simple,0
Alma CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Alma CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,0
Alma CA,Netfile,Investment,"$100,000 and Above",Complex,0
Alma CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Alma CA,Netfile,Other,"$100,000 and Above",Complex,0
Alma CA,Netfile,Other,"$100,000 and Above",Simple,0
Alma CA,Netfile,Pension,"$100,000 and Above",Complex,0
Alma CA,Netfile,Pension,"$100,000 and Above",Simple,0
Alma CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,0
Alma CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Alma CA,Efile,No income,"Less than $25,000",Complex,0
Alma CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Alma CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Alma CA,Efile,Pension,"$100,000 and Above",Simple,0
Amos CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,130"
Amos CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,080"
Amos CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,930
Amos CA,Efile,Employment,"Less than $25,000",Simple,890
Amos CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,860
Amos CA,Efile,Pension,"Less than $25,000",Simple,750
Amos CA,Netfile,Employment,"Less than $25,000",Simple,640
Amos CA,Efile,Other,"Less than $25,000",Simple,570
Amos CA,Netfile,Pension,"Less than $25,000",Simple,470
Amos CA,Efile,Employment,"Between $50,000 and $99,999",Complex,400
Amos CA,Paper,Pension,"Less than $25,000",Simple,350
Amos CA,Efile,Pension,"Between $25,000 and $49,999",Simple,330
Amos CA,Paper,Employment,"Between $25,000 and $49,999",Simple,280
Amos CA,Paper,Other,"Less than $25,000",Simple,270
Amos CA,Netfile,Other,"Less than $25,000",Simple,270
Amos CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,240
Amos CA,Efile,Employment,"Between $25,000 and $49,999",Complex,240
Amos CA,Paper,Employment,"Less than $25,000",Simple,230
Amos CA,Paper,Employment,"Between $50,000 and $99,999",Simple,210
Amos CA,Efile,Employment,"$100,000 and Above",Simple,210
Amos CA,Efile,Employment,"$100,000 and Above",Complex,190
Amos CA,Paper,Pension,"Between $25,000 and $49,999",Simple,180
Amos CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,160
Amos CA,Efile,Pension,"Less than $25,000",Complex,160
Amos CA,Efile,Pension,"Between $25,000 and $49,999",Complex,160
Amos CA,Netfile,Employment,"$100,000 and Above",Simple,150
Amos CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,130
Amos CA,Efile,Self-employment,"Less than $25,000",Complex,130
Amos CA,Efile,Other,"Between $25,000 and $49,999",Simple,120
Amos CA,Efile,No income,"Less than $25,000",Simple,110
Amos CA,Efile,Investment,"Between $50,000 and $99,999",Complex,100
Amos CA,Efile,Investment,"$100,000 and Above",Complex,100
Amos CA,Efile,Pension,"Between $50,000 and $99,999",Simple,100
Amos CA,Netfile,Other,"Between $25,000 and $49,999",Simple,80
Amos CA,Efile,Employment,"Less than $25,000",Complex,80
Amos CA,Paper,No income,"Less than $25,000",Simple,70
Amos CA,Paper,Pension,"Less than $25,000",Complex,70
Amos CA,Netfile,Employment,"$100,000 and Above",Complex,70
Amos CA,Efile,Investment,"Between $25,000 and $49,999",Complex,70
Amos CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,70
Amos CA,Netfile,No income,"Less than $25,000",Simple,60
Amos CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,60
Amos CA,Efile,Other,"Less than $25,000",Complex,60
Amos CA,Efile,Pension,"Between $50,000 and $99,999",Complex,60
Amos CA,Paper,Pension,"Between $50,000 and $99,999",Simple,50
Amos CA,Netfile,Pension,"Less than $25,000",Complex,50
Amos CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,50
Amos CA,Netfile,Self-employment,"Less than $25,000",Complex,50
Amos CA,Paper,Employment,"Less than $25,000",Complex,40
Amos CA,Paper,Employment,"Between $25,000 and $49,999",Complex,40
Amos CA,Paper,Employment,"Between $50,000 and $99,999",Complex,40
Amos CA,Paper,Other,"Less than $25,000",Complex,40
Amos CA,Paper,Pension,"Between $25,000 and $49,999",Complex,40
Amos CA,Netfile,Employment,"Less than $25,000",Complex,40
Amos CA,Efile,Investment,"Less than $25,000",Complex,40
Amos CA,Efile,Other,"Between $25,000 and $49,999",Complex,40
Amos CA,Efile,Self-employment,"$100,000 and Above",Complex,40
Amos CA,Paper,Employment,"$100,000 and Above",Simple,30
Amos CA,Paper,Other,"Between $25,000 and $49,999",Simple,30
Amos CA,Netfile,Other,"Less than $25,000",Complex,30
Amos CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,30
Amos CA,Efile,Other,"Between $50,000 and $99,999",Simple,30
Amos CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,30
Amos CA,Paper,Employment,"$100,000 and Above",Complex,20
Amos CA,Paper,Pension,"Between $50,000 and $99,999",Complex,20
Amos CA,Paper,Self-employment,"Less than $25,000",Complex,20
Amos CA,Netfile,Other,"Between $50,000 and $99,999",Simple,20
Amos CA,Netfile,Investment,"Less than $25,000",Complex,10
Amos CA,Netfile,Investment,"Less than $25,000",Simple,10
Amos CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,10
Amos CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,10
Amos CA,Efile,Investment,"Less than $25,000",Simple,10
Amos CA,Efile,Other,"Between $50,000 and $99,999",Complex,10
Amos CA,Efile,Other,"$100,000 and Above",Complex,10
Amos CA,Efile,Other,"$100,000 and Above",Simple,10
Amos CA,Paper,No income,"Less than $25,000",Complex,0
Amos CA,Paper,Investment,"Less than $25,000",Complex,0
Amos CA,Paper,Investment,"Less than $25,000",Simple,0
Amos CA,Paper,Investment,"Between $25,000 and $49,999",Complex,0
Amos CA,Paper,Investment,"Between $50,000 and $99,999",Complex,0
Amos CA,Paper,Investment,"$100,000 and Above",Complex,0
Amos CA,Paper,Other,"Between $25,000 and $49,999",Complex,0
Amos CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Amos CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Amos CA,Paper,Other,"$100,000 and Above",Complex,0
Amos CA,Paper,Other,"$100,000 and Above",Simple,0
Amos CA,Paper,Pension,"$100,000 and Above",Complex,0
Amos CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,0
Amos CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Amos CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,0
Amos CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Amos CA,Netfile,Investment,"Between $50,000 and $99,999",Simple,0
Amos CA,Netfile,Investment,"$100,000 and Above",Complex,0
Amos CA,Netfile,Other,"Between $25,000 and $49,999",Complex,0
Amos CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Amos CA,Netfile,Other,"$100,000 and Above",Complex,0
Amos CA,Netfile,Other,"$100,000 and Above",Simple,0
Amos CA,Netfile,Pension,"$100,000 and Above",Complex,0
Amos CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,0
Amos CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Amos CA,Efile,No income,"Less than $25,000",Complex,0
Amos CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Amos CA,Efile,Multiple sources of income,"Between $25,000 and $49,999",Simple,0
Amos CA,Efile,Pension,"$100,000 and Above",Complex,0
Amos CA,Efile,Pension,"$100,000 and Above",Simple,0
Amos CA,Efile,Self-employment,"Less than $25,000",Simple,0
Baie-Comeau CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,860"
Baie-Comeau CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"1,670"
Baie-Comeau CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,410"
Baie-Comeau CA,Efile,Employment,"Less than $25,000",Simple,"1,320"
Baie-Comeau CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,260"
Baie-Comeau CA,Efile,Pension,"Less than $25,000",Simple,990
Baie-Comeau CA,Efile,Pension,"Between $25,000 and $49,999",Simple,990
Baie-Comeau CA,Netfile,Employment,"Less than $25,000",Simple,940
Baie-Comeau CA,Paper,Pension,"Less than $25,000",Simple,890
Baie-Comeau CA,Paper,Other,"Less than $25,000",Simple,770
Baie-Comeau CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,690
Baie-Comeau CA,Netfile,Pension,"Less than $25,000",Simple,670
Baie-Comeau CA,Paper,Employment,"Less than $25,000",Simple,580
Baie-Comeau CA,Paper,Pension,"Between $25,000 and $49,999",Simple,550
Baie-Comeau CA,Efile,Employment,"Between $50,000 and $99,999",Complex,540
Baie-Comeau CA,Efile,Employment,"$100,000 and Above",Simple,530
Baie-Comeau CA,Paper,Employment,"Between $25,000 and $49,999",Simple,520
Baie-Comeau CA,Paper,Employment,"Between $50,000 and $99,999",Simple,450
Baie-Comeau CA,Efile,Other,"Less than $25,000",Simple,440
Baie-Comeau CA,Netfile,Other,"Less than $25,000",Simple,350
Baie-Comeau CA,Netfile,Employment,"$100,000 and Above",Simple,340
Baie-Comeau CA,Efile,Pension,"Between $50,000 and $99,999",Simple,340
Baie-Comeau CA,Efile,Pension,"Between $25,000 and $49,999",Complex,300
Baie-Comeau CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,280
Baie-Comeau CA,Efile,Employment,"$100,000 and Above",Complex,280
Baie-Comeau CA,Efile,Employment,"Between $25,000 and $49,999",Complex,270
Baie-Comeau CA,Efile,Pension,"Less than $25,000",Complex,230
Baie-Comeau CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,210
Baie-Comeau CA,Efile,Self-employment,"Less than $25,000",Complex,210
Baie-Comeau CA,Efile,Pension,"Between $50,000 and $99,999",Complex,200
Baie-Comeau CA,Efile,Other,"Between $25,000 and $49,999",Simple,180
Baie-Comeau CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,160
Baie-Comeau CA,Paper,Pension,"Less than $25,000",Complex,150
Baie-Comeau CA,Paper,Pension,"Between $50,000 and $99,999",Simple,140
Baie-Comeau CA,Netfile,Employment,"$100,000 and Above",Complex,120
Baie-Comeau CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,120
Baie-Comeau CA,Paper,No income,"Less than $25,000",Simple,110
Baie-Comeau CA,Paper,Employment,"$100,000 and Above",Simple,110
Baie-Comeau CA,Netfile,Other,"Between $25,000 and $49,999",Simple,110
Baie-Comeau CA,Efile,Employment,"Less than $25,000",Complex,110
Baie-Comeau CA,Efile,Investment,"Between $50,000 and $99,999",Complex,110
Baie-Comeau CA,Paper,Pension,"Between $25,000 and $49,999",Complex,100
Baie-Comeau CA,Efile,No income,"Less than $25,000",Simple,100
Baie-Comeau CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,100
Baie-Comeau CA,Netfile,No income,"Less than $25,000",Simple,90
Baie-Comeau CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,90
Baie-Comeau CA,Paper,Employment,"Between $50,000 and $99,999",Complex,80
Baie-Comeau CA,Efile,Investment,"$100,000 and Above",Complex,80
Baie-Comeau CA,Efile,Investment,"Between $25,000 and $49,999",Complex,70
Baie-Comeau CA,Efile,Other,"Less than $25,000",Complex,70
Baie-Comeau CA,Paper,Other,"Between $25,000 and $49,999",Simple,60
Baie-Comeau CA,Efile,Other,"Between $25,000 and $49,999",Complex,60
Baie-Comeau CA,Paper,Employment,"Between $25,000 and $49,999",Complex,50
Baie-Comeau CA,Paper,Other,"Less than $25,000",Complex,50
Baie-Comeau CA,Paper,Pension,"Between $50,000 and $99,999",Complex,50
